AMI Id,AMI Name,Creation Date,SNAPSHOT Count,SNAPSHOT Size (in GB),Deleted By
ami-0d167cf4d435d743b,AMI_SAPXBJDB01_14-12-2021,2021-12-14T09:52:18.000Z,11,4727,Vaibhav
ami-0d2e96b2694ddd9c6,SAPXB4DB01_AMI_23_nov_2021,2021-11-23T08:52:28.000Z,10,4176,Vaibhav
ami-0d34f5fe722ed20e9,AMI_SAPXWDAP01_14-12-2021,2021-12-14T09:54:16.000Z,5,236,Vaibhav
ami-0d42774e6e0ebb711,SAPDSOCIPA_PostPatch_17022022,2022-02-17T11:27:49.000Z,7,412,Vaibhav
ami-0d5b7fcf3321e10d4,SLES-15_DB_16022022,2022-02-16T10:54:50.000Z,7,202,Vaibhav
ami-0d601c36aa42a7e7f,SAPXVRTXAP01_AMI_30Dec2021,2021-12-29T21:52:23.000Z,3,181,Vaibhav
ami-0d6c54fbdc6b6b865,SAPXDSDB01_AMI_30Dec2021,2021-12-29T21:53:52.000Z,11,2977,Vaibhav
ami-0d79713f6464577ee,SAPXS4CIPA_Metadata_220222,2022-02-22T12:28:43.000Z,11,909,Vaibhav
ami-0d7b53a673e14fd84,SAPXS4MS01_AMI_29_12_2021,2021-12-28T18:38:33.000Z,6,434,Vaibhav
ami-0d91312168d3c14ea,AdhocAMIBackup_SAPDDSDB01_1stApril2021,2021-04-01T04:58:34.000Z,11,2977,Vaibhav
ami-0d93cce3d5020b5fc,AMI_SAPXS4CIPA_hardening_26012022,2022-01-26T01:46:44.000Z,12,959,Vaibhav
ami-0d942fcee95088783,SAPDVRTXAP01_PostPatchAMI_17022022,2022-02-17T09:37:42.000Z,3,181,Vaibhav
ami-0db7ae78d9f898e85,SAPGSDDB01_CHG0649224,2021-04-22T13:59:30.000Z,4,650,Vaibhav
ami-0db8c4822ead6f8b5,AdhocAMIBackup_SAPDBJDB01_19/03/2021,2021-03-19T06:02:21.000Z,11,4727,Vaibhav
ami-0dc8ba22ddff2a349,SAPDF4CIPA_PostPatchAMI_17022022,2022-02-17T09:41:02.000Z,6,602,Vaibhav
ami-0dcfb7658d1d3bc61,ted_poc,2021-11-04T20:48:03.000Z,10,4176,Vaibhav
ami-0de24d345138a66e1,SAPDHCAP01_PostPatchAMI_17022022,2022-02-17T09:45:35.000Z,6,282,Vaibhav
ami-0de99e8f7671dc47b,SAPGSDAP01_23022022,2022-02-23T15:10:29.000Z,2,250,Vaibhav
ami-0dfacab2f96ccf962,SAPDS4DB01_PostPatch_17022022,2022-02-17T11:29:14.000Z,10,4176,Vaibhav
ami-0dfff8f4e800bf183,SAPXGRCIPA_AMI_19_Nov_2021,2021-11-19T16:53:47.000Z,5,302,Vaibhav
ami-0e148be4c46346684,SAPXB4CIPA_AMI_23_Nov_2021,2021-11-23T07:37:13.000Z,5,302,Vaibhav
